dx_id	name	created_by	created
project-G8QJyv04jy6Fk9gj3j5xpPBb	002_220301_A01295_0061_AHYKNGDRXY_MYE	user-jethror1	2022-03-03
project-G8BQb284jJ9VfFb1Bx4jqF79	002_220221_A01295_0058_BHYK7LDRXY_CEN	user-ykim	2022-02-22
project-G8KGKP04Z6X8vQ1155zqZ3FF	002_220301_A01295_0062_BHYKG5DRXY_CEN	user-toutoua	2022-02-28
project-G46233846XkJK3QjKx44kf2Q	003_210805_SWGLH_TSO500	user-jwahn	2021-08-05
project-G7kJqx84JpX0kfjfBF5QKp9k	003_220127_CEN-TS-mosaics	user-garnerm	2022-01-27
project-G7yg0Z84Qk8pY306Bp3VQvfK	002_220202_A01295_0051_BH55NGDMXY_TWE	user-toutoua	2022-02-04
project-G8K8Qz84860GpXKf3yx5kgjy	002_220223_A01295_0059_AH5YL5DMXY_TWE	user-ykim	2022-02-28
project-G8PZ7y04FJYV5KkPJxB9FVfZ	002_220224_M03595_0371_000000000-K728J_SNP	user-jethror1	2022-03-02
project-G8KK0g84XvqF81pyGK5xqf1j	003_220223_A01295_0060_BHYKJ3DRXY_TSO500	user-spaul4	2022-02-28
project-G7B3P004z0y8JbyPJ2Z7015F	003_220104_popaf-check	user-garnerm	2022-01-04
project-G7QbZZj4k8bY18F42zvVF7vb	003_220114_vcf2xls_v1.6.3	user-ykim	2022-01-14
project-G7Kjxp84K23z0kkjFXQ53v2p	003_220111_vcf2xls_v1.6.2	user-ykim	2022-01-11
project-G72k7b046jqxQqqY24yX8v8k	003_211224_dias_reports_v1.3.0	user-aishadahir	2021-12-24
project-G7K3K3j4yB9P0kkjFXQ4yqjy	003_220110_zetta_upload	user-toutoua	2022-01-10
project-G75QFbQ4Q94xVk5j111Vb1py	003_211228_vcf2xls-v1.6.1	user-garnerm	2021-12-28
project-G7P9p6j4JVPZFzGQBYFPxGQp	003_220112_dias_reports_v1.3.3	user-ykim	2022-01-12
project-G89kGX847q49XQJY42pVZKvV	003_220218_A01295_0057_AHYJYVDRXY_TSO500	user-spaul4	2022-02-21
project-FpG6k2Q4g59bZJ0z15XzByFY	003_200416_multiqc	user-sophier	2020-04-16
project-G8GG3pj4p75Q57QG4PYf8bB5	002_220225_vaf_checks_FH	user-jethror1	2022-02-25
project-G2BVpG0406xxyjpx0Y93K3q4	003_210507_TelomerecatDev	user-pyattc	2021-05-07
project-G87z5J848493Q7vP9PXQ4Qzg	002_220217_A01295_0056_AHYKG7DRXY_MYE	user-aishadahir	2022-02-18
project-G7yQ6084k8jzVGqY4BFv09Xv	003_220204_dias_reports_v1.4.0	user-aishadahir	2022-02-04
project-G85607j4FqGJJz8q5yyxk5P0	003_220214_vcf2xls_v2.0.0_development	user-jethror1	2022-02-14
project-G6k0VZj4Fb9GZkVb7PPxkpvK	003_211209_VEP+vcf2xls	user-ykim	2021-12-09
project-G6kYg904q4fJ5K684Fk4fFxG	003_211209_A01303_0046_AHMYJJDRXY_TSO500	user-jay_miles	2021-12-10
project-G7X25qQ4P0j51q5PK3yQXqK7	002_220116_vaf-check-inputs	user-garnerm	2022-01-16
project-G25XFV84pv7QJ50bP8XBf5b5	003_210429_Bioinformatics_Rotation	user-toutoua	2021-04-29
project-Fv0zp2j4vFQ1P38X2Kgxy5qz	003_200706_STP_Rotation	user-toutoua	2020-07-05
project-FvPGVF04gFQYB3gQ8BB8gK0V	003_200727_Bam2fqs	user-ykim	2020-07-27
project-G0g5F184QX5jX1xx5j43GGGX	003_210212_K00178_0311_AHKMK2BBXY2	user-jwahn	2021-02-18
project-Fp1V5684VkKy0p7K1PYfX7pv	003_200331_TSO500_development	user-jwahn	2020-03-31
project-G10QFjj4x321v8yf4y82fK4b	003_210304_tso500_run6_7_data	user-jethror1	2021-03-04
project-G1v9ygj4YfF060Bk4Qx3jg6v	003_210415_TSO500_coverage_for_Jon	user-pyattc	2021-04-15
project-Fy6ffk840vZb0G4X8Yfy871F	003_201019_dias_batch_running_v1.5.0	user-ykim	2020-10-19
project-G1f85kj4bj7qKp8q0bz07pkj	003_210406_myeloid_annotation	user-garnerm	2021-04-06
project-G23P1kj4jZZ7XG0GFx9V59pf	003_210426_TSO500_DNAnexus_testing	user-toutoua	2021-04-26
project-Fv28zZQ4pgK1G8883KF254VY	003_200707_StarFusionDocker	user-jwahn	2020-07-07
